"nordborgid","native_name","ABRC_Stock_number","Line","Mean_Length_C","Mean_Length_E","Ratio"
259,"PAR-4","CS76206",258,1.813333325,0.224908702,8.06253074636481
260,"PAR-5","CS76207",259,2.008779125,0.1619088352,12.4068530449165
2150,"Paw-3","CS76208",260,1.680764075,0.153947232,10.9177934098874
2187,"Pent-1","CS76209",261,2.69113663333333,0.45129275,5.96317275944126
8354,"Per-1","CS76210",262,2.94269253333333,0.479003173333333,6.14336751227647
8355,"Petergof","CS76211",263,3.01067386666667,0.156031054,19.2953504413722
8244,"PHW-34","CS76212",264,2.79017238,0.181376565,15.3833125023621
8359,"Pna-17","CS76213",265,2.22960075,0.23827488,9.35726313239566
8360,"Pro-0","CS76214",266,1.94098436666667,0.3630642375,5.34611830686482
8361,"Pu2-23","CS76215",267,2.85306664,0.6308628915,4.52248290150063
8365,"Rak-2","CS76217",269,3.104451175,0.18744244,16.5621572947941
8367,"Ren-1","CS76218",270,3.1454715,0.187036088,16.8174577090171
8371,"Rmx-A180","CS76220",272,2.875791075,0.361996363333333,7.94425404862953
8374,"Rsch-4","CS76222",274,3.4272509,0.31084217,11.0256948083975
8376,"Sanna-2","CS76223",275,2.49031365,0.3839182325,6.48657302307204
8378,"Sap-0","CS76224",276,2.60624194,0.29069096,8.96567935927557
8412,"Sav-0","CS76225",277,2.726589775,0.3085994964,8.83536689724812
8379,"Se-0","CS76226",278,2.9320897,0.2760575325,10.6212993843955
8248,"Shahdara","CS76227",279,3.37859962,0.200046484,16.8890727417134
2274,"SLSP-30","CS76228",280,3.81893164,0.551578475,6.92364153622927
8385,"Sq-8","CS76230",282,2.986886925,0.385384676,7.75040397558516
8387,"St-0","CS76231",283,2.6773074,0.3332127725,8.03482825677098
2290,"Ste-3","CS76232",284,2.0535716,0.170691284,12.0309107288689
6094,"T1040","CS76233",285,2.4302898,0.231321418,10.5061166450225
6096,"T1060","CS76234",286,2.78231338,0.243015912,11.4490995964083
6100,"T1110","CS76236",288,2.516256375,0.4596164575,5.4746872831463
8389,"Ta-0","CS76242",294,3.54664138,0.264686873333333,13.3993852257779
