name	phenotype	id
Lis-1	6.86454816438535	8326
Lis-2	5.91429095897559	8222
Lisse	2.3121138368143	8430
LL-0	3.16664262631103	6933
Lm-2	3.76172367975548	7217
Lm-2	3.76172367975548	8329
Lom1-1	4.33152274211252	6042
L<f6>v-5	7.38654605146499	NA
Lp2-2	4.0798004564645	7520
Lp2-6	4.39738608842633	7521
Lz-0	7.6066759638892	6936
Map-42	7.08083370048565	2057
MIB-15	15.0784744694495	166
MIB-22	6.84942843780733	173
MIB-28	7.70548979483535	178
MNF-Che-2	4.56187286285936	1925
MNF-Pot-48	8.2325291788451	1859
MNF-Pot-68	5.11608142264613	1867
MOG-37	6.21788852258912	242
Mr-0	4.93424990786384	7522
Mrk-0	10.6921877233839	6937
Mt-0	11.0530909787273	6939
Mz-0	11.6947910844533	6940
