FID;name;country;sitename;latitude;longitude;collector;collectiondate;CS_number;ID_POP;ID_IMP;Accuracy;
7244;Mnz-0;GER;Mainz;50.001;826.664;Albert Kranz;;CS76552;RgMap;REF;0.984994188;
7245;Ma-0;GER;Marburg/Lahn;508.167;87.667;Albert Kranz;;;RgMap;IMP;0.951449744;
7246;Ma-2;GER;Marburg/Lahn;508.167;87.667;Albert Kranz;;;RgMap;IMP;0.938723181;
7248;Mv-0;USA;Mv;413.923;-706.652;Albert Kranz;;CS76556;1001G;REF;0.998904112;
7250;Me-0;GER;Mechtshausen/Hessen;519.183;101.138;Albert Kranz;;CS76549;RgMap;REF;0.983887319;
7252;Mc-0;UK;Mc;546.167;-2.3;Albert Kranz;;;RgMap;IMP;0.953517285;
7255;Mh-0;POL;Muhlen;50.95;20.5;Albert Kranz;;CS76550;RgMap;REF;0.987012683;
7256;Mh-1;GER;Muhlen /Ostpr;50.95;7.5;Albert Kranz;;;RgMap;IMP;0.936164542;
7258;Nw-0;GER;Neuweilnau;50.5;8.5;Albert Kranz;;CS76564;RgMap;REF;0.987948406;
7260;Nw-2;GER;Neuweilnau;50.5;8.5;Albert Kranz;;;RgMap;IMP;0.965402226;
7262;Nw-4;GER;Neuweilnau;50.5;8.5;Albert Kranz;;;RgMap;IMP;0.9128958;
7263;Nz-1;NZL;Nz1;-377.871;175.283;James Campanella;;;RgMap;IMP;0.961100096;
7265;Nd-0;GER;Niederzenz;50;10;Albert Kranz;;;RgMap;IMP;0.907317545;
7268;Np-0;GER;Nieps/Salzwedel;526.969;10.981;Albert Kranz;;CS76563;RgMap;REF;0.983662274;
7270;Nok-1;NED;Nok;52.24;4.45;Albert Kranz;;;RgMap;IMP;0.967247952;
7273;No-0;GER;Halle;510.581;132.995;Albert Kranz;;CS77128;1001G;REF;0.979224066;
7275;No-0;GER;Halle;510.581;132.995;Albert Kranz;;;RgMap;IMP;0.940893872;
7276;Ob-0;GER;Oberursel/Hasen;50.2;85.833;Albert Kranz;;CS76566;RgMap;REF;0.983673009;
7277;Ob-1;GER;Oberursel/Friedhof;50.2;85.833;Albert Kranz;;;RgMap;IMP;0.962692058;
728;LI-SET-019;USA;Setauket - SET;409.352;-73.114;Oliver Bossdorf;04/01/2006 00:00;CS78956;1001G;REF;0.999292589;
7280;Old-1;GER;Oldenburg;531.667;8.2;Albert Kranz;;CS76567;RgMap;REF;0.986401555;
7281;Old-2;GER;Oldenburg;531.667;8.2;Albert Kranz;;;RgMap;IMP;0.950966861;
7282;Or-0;GER;Oranienstein;503.827;801.161;Albert Kranz;;CS76568;RgMap;REF;0.987258307;
7283;Ors-1;ROU;Ors;447.203;223.955;Gallia Butnaru;;;RgMap;IMP;0.918436628;
7284;Ors-2;ROU;Ors;447.203;223.955;Gallia Butnaru;;;RgMap;IMP;0.9183919;
7287;Ove-0;GER;Ovelgoenne;533.422;842.255;Albert Kranz;;CS76569;RgMap;REF;0.986310333;
7288;Oy-0;NOR;Oy;60.385.543;6.193.019;Albert Kranz;5/24/2002 2:00;CS77156;1001G;REF;0.987929348;
7291;Pa-2;ITA;Pa;38.07;13.22;Albert Kranz;;;RgMap;IMP;0.929929055;
7292;Pa-3;ITA;Pa;38.07;13.22;Albert Kranz;;;RgMap;IMP;0.96259256;
7296;Petergof;RUS;Petergof;59;29;Igor Vizir;;CS77170;RgMap;REF;0.978465021;
7297;Pf-0;GER;Pfrondorf;485.479;911.033;Albert Kranz;;;RgMap;IMP;0.96905899;
7298;Pi-0;AUT;Pi;47.04;10.51;Albert Kranz;;CS76572;1001G;REF;0.989188318;
7299;Pi-2;AUT;Pi;47.04;10.51;Albert Kranz;;;RgMap;IMP;0.967260731;
7300;Pla-0;ESP;Pla;41.5;2.25;Albert Kranz;;;RgMap;IMP;0.946161767;
7301;Pla-1;ESP;Pla;41.5;2.25;Albert Kranz;;;RgMap;IMP;0.908702296;
7303;Pla-3;ESP;Pla;41.5;2.25;Albert Kranz;;;RgMap;IMP;0.951685252;
7305;Pt-0;GER;Poetrau/Lauenburg;53.476;106.065;Albert Kranz;;CS78915;RgMap;REF;0.986253777;
